2417.2 -55.7756766992996
2950.5 -53.7940395020698
3469.5 -51.8655382731887
3854.5 -50.4349545099533
4112.9 -49.4747912776934
4354.9 -48.5755671979454
4584.9 -47.7209327419866
4799.9 -46.9220353157641
5008.9 -46.1454327014363
5208.9 -45.4022723049504
5402.7 -44.6821498807555
5592.7 -43.9761475040938
5778.4 -43.2861230759566
5958.4 -42.6172787191192
6127.4 -41.9893081840886
6293.1 -41.3735997956
6457.1 -40.7642082704815
6621.1 -40.154816745363
6783.7 -39.5506273430199
6940.5 -38.9679895921749
7094.2 -38.3968708274755
7240 -37.8551068984372
7379.9 -37.3352662010953
7519.6 -36.8161686641498
7655.1 -36.3126774955306
7790.1 -35.8110442279026
7919 -35.3320773523674
8044 -34.8676021045637
8165.1 -34.4176184844914
8279.8 -33.9914159971067
8391.8 -33.5752461750746
8491.8 -33.2036659768316
8589.2 -32.8417468637429
8686.3 -32.480942491249
8774.3 -32.1539519167952
8862.2 -31.8273329225396
8949.2 -31.5040581500682
9035.1 -31.1848707597775
9119.1 -30.8727433932534
9202 -30.56470340891
9282.3 -30.2663245097209
9362.3 -29.9690603511265
9442.3 -29.6717961925321
9521.6 -29.3771330953254
9600.3 -29.0846994793082
9677.3 -28.7985827266611
9752.3 -28.5198975779789
9826.8 -28.2430703302878
9897 -27.9822210311213
9966.6 -27.7236012131441
10036.1 -27.4653529753653
10104.8 -27.2100773791723
10171.1 -26.9637197077372
10237.1 -26.7184767768969
10302.1 -26.4769496480389
10363.9 -26.2473130855248
10420.9 -26.0355123725263
10476.1 -25.8304001030962
10526.9 -25.6416373623887
10576.9 -25.4558472632672
10626.3 -25.2722866453352
10675.5 -25.0894691877997
10722.7 -24.914083334229
10769.7 -24.7394406410548
10816.5 -24.5655411082771
10862.9 -24.3931278962923
10908.9 -24.2222010051006
10954.5 -24.0527604347018
10999.9 -23.8840630246994
11045 -23.7164803552919
11090 -23.5492692660825
11135 -23.3820581768732
11179 -23.2185628896463
11221 -23.0624992063842
11262.7 -22.9075502637169
11302.5 -22.7596613448162
11342.2 -22.6121440061137
11381.7 -22.4653698278077
11420.9 -22.3197103900965
11458.8 -22.1788814949624
11496.6 -22.0384241800266
11533.7 -21.9005679264784
11570.7 -21.7630832531285
11607 -21.6281996411663
11643.2 -21.4936876094024
11678.5 -21.3625197994226
11712.9 -21.234696211227
11747 -21.1079873636261
11780 -20.985365898206
11812.5 -20.864602333777
11844.8 -20.7445819297445
11876.4 -20.6271625870997
11907.9 -20.5101148246532
11939.1 -20.3941818028014
11970.1 -20.2789919413461
12000.1 -20.1675178818732
12030.1 -20.0560438224003
12060.1 -19.9445697629274
12090.1 -19.8330957034545
12119.9 -19.7223648043781
12149.6 -19.6120054854999
12179 -19.5027609072165
12208.3 -19.3938879091313
12237.6 -19.2850149110461
12265.6 -19.1809724555381
12293.2 -19.078416320823
12320.6 -18.9766033465044
12347.6 -18.8762766929788
12373.8 -18.7789226810392
12400 -18.6815686690995
12425.1 -18.5883020393405
12450.1 -18.4954069897798
12475.1 -18.402511940219
12500 -18.3099884708565
12524.6 -18.2185797420887
12549.2 -18.127171013321
12573.8 -18.0357622845532
12597.9 -17.9462114567766
12621.9 -17.8570322091983
12645.5 -17.769339282413
12669 -17.6820179358259
12692.5 -17.5946965892388
12716 -17.5073752426517
12739.4 -17.4204254762628
12762.8 -17.333475709874
12786.1 -17.2468975236833
12809.3 -17.160690917691
12832.2 -17.0755990522933
12854.9 -16.9912503472922
12877.6 -16.906901642291
12900.3 -16.8225529372899
12922.3 -16.7408052936764
12944.2 -16.6594292302612
12966.1 -16.578053166846
12987.7 -16.4977918440255
13009.3 -16.417530521205
13030.7 -16.338012358781
13052.1 -16.258494196357
13072.8 -16.1815770953207
13093.5 -16.1046599942844
13113.9 -16.0288576338429
13134 -15.954170013996
13154 -15.8798539743474
13174 -15.8055379346988
13193.6 -15.7327082158432
13212.5 -15.6624795583753
13231 -15.5937372217003
13249.4 -15.5253664652236
13267.6 -15.4577388691434
13285.6 -15.3908544334597
13303.3 -15.3250847383707
13320.9 -15.2596866234799
13338.1 -15.1957748293821
13354.6 -15.134464096672
13370.6 -15.0750112649531
13386.5 -15.0159300134325
13401.5 -14.9601929836961
13416.2 -14.9055706945543
13430.7 -14.8516915658091
13445.1 -14.7981840172621
13459.5 -14.7446764687151
13473.8 -14.6915405003664
13487.8 -14.6395192726124
13501.8 -14.5874980448583
13515.7 -14.5358483973026
13529.5 -14.484570329945
13543.3 -14.4332922625875
13557 -14.3823857754282
13570.7 -14.3314792882689
13584.2 -14.2813159615061
13597.6 -14.2315242149416
13611 -14.181732468377
13624.2 -14.1326838822089
13637.4 -14.0836352960409
13650.6 -14.0345867098728
13663.6 -13.9862812841012
13676.6 -13.9379758583296
13689.6 -13.889670432558
13702.5 -13.8417365869847
13715.2 -13.7945459018078
13727.8 -13.7477267968292
13740.3 -13.7012792720488
13752.8 -13.6548317472685
13765.2 -13.6087558026863
13777.2 -13.5641661788972
13789.2 -13.519576555108
13801.2 -13.4749869313189
13813 -13.4311404679262
13824.8 -13.3872940045335
13836.4 -13.3441907015373
13847.9 -13.3014589787394
13859.4 -13.2587272559415
13870.8 -13.2163671133418
13882.1 -13.1743785509403
13893.1 -13.1335047291336
13904 -13.0930024875251
13914.7 -13.0532434063131
13925 -13.0149706458941
13935.3 -12.976697885475
13945.2 -12.939911445849
13955.1 -12.9031250062229
13964.8 -12.8670817269934
13974.5 -12.8310384477638
13984.2 -12.7949951685342
13993.7 -12.7596950497011
