CODIGO;DESCRIPCION;AGENTE PROPIETARIO;PORCENTAJE PROPIEDAD;TIPO UNIDAD;ESTADO;ZONA/FRONTERA
CEVD067;CEVD067;ENERGYA VM GENERACIÓN (ACT. COMER. RE);100;GENERACION;;ZONA ESPANOLA
CEVD068;CEVD068;ENERGYA VM GENERACIÓN (ACT. COMER. RE);100;GENERACION;;ZONA ESPANOLA
CEVD069;CEVD069;ENERGYA VM GENERACIÓN (ACT. COMER. RE);100;GENERACION;;ZONA ESPANOLA
CEVIRE1;CERAMICA VIVES VENTA REG. ESP.;CERÁMICA VIVES;100;GENERACION;BAJA;ZONA ESPANOLA
CGPIC01;CINERGY GL. POW IB COMPRA(ESP);CINERGY GLOBAL POWER IBERIA;100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
CHCC01;UNIDAD DE COMPRA CHC;CIDE HCENERGIA, S.A;100;COMERCIALIZADOR;;ZONA ESPANOLA
CHCITY;SIMINISTRO A C. C. HERON CITY;HIDROELECTRICA DEL CANTABRICO Generación;100;GENERACION;BAJA;ZONA ESPANOLA
CHERC01;CHERA COMPRA;ELECTRICA SOT DE CHERA;100;COMERCIALIZADOR;;ZONA ESPANOLA
CHILOE;CERAMICA DE CHILOECHES;PALAU CERÁMICA DE CHILOECHES;100;GENERACION;BAJA;ZONA ESPANOLA
CILCOR;C. I. DE LA CORUNA;REPSOL PETRÓLEO;100;GENERACION;;ZONA ESPANOLA
CILPM01;FV SIN RETRIBUCION;CLIDOM ENERGY SL;100;GENERACION;;ZONA ESPANOLA
CISAC01;CIRO SANCHEZ QUERO COMPRA ESP;CIRO SANCHEZ QUERO;100;CONSUMIDOR DIRECTO;BAJA;ZONA ESPANOLA
CITRIVA;CITRICOS VALENCIANOS;S.A.T. CÍTRICOS VALENCIANOS;100;GENERACION;BAJA;ZONA ESPANOLA
CLIDC01;CLIUO01;CLIDOM ENERGY SL;100;COMERCIALIZADOR;;ZONA ESPANOLA
CLIVD01;UNIDAD OFERTA TARIFA;CLIDOM ENERGY SL;100;GENERACION;;ZONA ESPANOLA
CLIVD02;TERM NO RENOVABLE> 10MW TARIFA;CLIDOM ENERGY SL;100;GENERACION;;ZONA ESPANOLA
CLIVD03;HIDRAULICA<10MW TARIFA;CLIDOM ENERGY SL;100;GENERACION;;ZONA ESPANOLA
CLIVD04;TERMICO RENOVABLE < 10MW;CLIDOM ENERGY SL;100;GENERACION;;ZONA ESPANOLA
CLIVD05;FOTOVOLTAICA TARIFA - 15KW;CLIDOM ENERGY SL;100;GENERACION;;ZONA ESPANOLA
CLIVD06;TERSA TERMICO NO REN +10MW;CLIDOM ENERGY SL;100;GENERACION;;ZONA ESPANOLA
CLSFC01;CLÍNICA SAN FRANCISCO;CLÍNICA SAN FRANCISCO, S.L.;100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
CMOTRIL;COGENERACIÓN MOTRIL;COGENERACIÓN MOTRIL, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
CNDRC03;CNDR COMPA (FRAN);COMPAGNIE NATIONALE DU RHONE;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
CNDRCP3;CNDR CON DERECHOS COMPA (FRAN);COMPAGNIE NATIONALE DU RHONE;100;COMERCIALIZADOR;;FRONTERA FRANCIA
CNDRV03;CNDR VENTA (FRAN);COMPAGNIE NATIONALE DU RHONE;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
CNDRVP3;CNDR CON DERECHOS VENTA (FRAN);COMPAGNIE NATIONALE DU RHONE;100;COMERCIALIZADOR;;FRONTERA FRANCIA
CNTSC01;ELECTR. CENTELLES COMPRA (ESP);ELECTRACOMERCIAL CENTELLES;100;COMERCIALIZADOR;;ZONA ESPANOLA
COALC01;COALG COMPRA;COMERCIALIZADORA SUM ESP ALGINETENSES, S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
COBLC01;COBLA COMPRA;ELECTRICAS COLLADO BLANCO, S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
COELC01;COELD COMPRA;ELECTRICA DE GUADASSUAR COOP. V.;100;COMERCIALIZADOR;;ZONA ESPANOLA
COF1;C.N. COFRENTES;IBERDROLA GENERACIÓN;100;GENERACION;;ZONA ESPANOLA
COG75RQ;COGENERACIÓN 75,7-REPSOL Q.;REPSOL QUÍMICA;100;GENERACION;;ZONA ESPANOLA
COGALCA;COGENERACIÓN DE ALCALÁ;COGENERACIÓN DE ALCALA;100;GENERACION;BAJA;ZONA ESPANOLA
COGEC01;COGEN COMPRA ELECTRICIDAD;ENERGY BY COGEN;100;COMERCIALIZADOR;;ZONA ESPANOLA
COGEVD1;VENTA A TARIFA;ENERGY BY COGEN;100;GENERACION;;ZONA ESPANOLA
COGNAV;COGENERACIÓN DE NAVIA;COGENERACIÓN DE NAVIA;100;GENERACION;BAJA;ZONA ESPANOLA
COGPLA;COGENERACIÓN PLANTA A;ZABALGARBI;100;GENERACION;;ZONA ESPANOLA
COGSUR;COGENERACION DEL SUR;COGENERACIÓN DEL SUR;100;GENERACION;BAJA;ZONA ESPANOLA
COL1;C.T. CRISTOBAL COLÓN 1;ENDESA GENERACIÓN, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
COL2;C.T. CRISTOBAL COLÓN 2;ENDESA GENERACIÓN, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
COL3;C.T. CRISTOBAL COLÓN 3;ENDESA GENERACIÓN, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
COL4;C.C. COLÓN 4;ENDESA GENERACIÓN, S.A.;100;GENERACION;;ZONA ESPANOLA
COL4X;COLON 4 CONSUMOS AUXILIARES;ENDESA GENERACIÓN, S.A.;100;CONSUMIDOR DIRECTO;BAJA;ZONA ESPANOLA
COLTEX;COLORTEX;COLORTEX COGENERACION;100;GENERACION;BAJA;ZONA ESPANOLA
COM4;C.T. COMPOSTILLA 4;ENDESA GENERACIÓN, S.A.;100;GENERACION;;ZONA ESPANOLA
COM5;C.T. COMPOSTILLA 5;ENDESA GENERACIÓN, S.A.;100;GENERACION;;ZONA ESPANOLA
CONCC01;UNIDAD COMERCIALIZADORA;CONCISA, COMUNICACIÓN, MARKETING Y SERVICIOS SL;100;COMERCIALIZADOR;;ZONA ESPANOLA
CONEC01;COMPRA ENERGIA;AHORRO ENERGIA HOGAR INVESTMENTS S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
COOSUR;COGENERACIÓN;ACEITES DEL SUR COOSUR, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
COOSVD1;COOS REPRE TARIFA;ACEITES DEL SUR COOSUR, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
COPRAT;COGENERACION PRAT;COGENERACIÓN PRAT;100;GENERACION;BAJA;ZONA ESPANOLA
COPRAT2;COGENERACION PRAT RO;COGENERACIÓN PRAT;100;GENERACION;BAJA;ZONA ESPANOLA
CORPC01;CORPO COMPRA;CORPOLUX, S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
CORVOS;PE OS CORVOS;PARQUE EÓLICO SAN ANDRÉS (OS CORVOS);100;GENERACION;BAJA;ZONA ESPANOLA
COTASA;COG. TIERRA ATOMIZADA;COGENERACIÓN TIERRA ATOMIZADA;100;GENERACION;BAJA;ZONA ESPANOLA
COTERE1;COLORTEX VENTA REG. ESPECIAL;COLORTEX COGENERACION;100;GENERACION;BAJA;ZONA ESPANOLA
COVILL;COG. VILLARICOS;COGENERACIÓN VILLARICOS;100;GENERACION;BAJA;ZONA ESPANOLA
COVISLA;COVISLA;COVISLAN;100;GENERACION;BAJA;ZONA ESPANOLA
CPALOMA;CERAMICA CUATRO PALOMAS;CERAMICAS DE CUATRO PALOMAS;100;GENERACION;BAJA;ZONA ESPANOLA
CR EC01;UOCR;COMERCIALIZADORA RIOJANA DE ENERGIA, S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
CRC1;C.T. CERCS;E.ON GENERACION, S.L.;100;GENERACION;;ZONA ESPANOLA
CREPSOL;COGENERACION REPSOL;REPSOL PETRÓLEO;100;GENERACION;BAJA;ZONA ESPANOLA
CRNORE1;CRNOR VENTA REG. ESPECIAL 1;CERANOR;100;GENERACION;BAJA;ZONA ESPANOLA
CRUCES;HOSPITAL DE CRUCES;KOSORKUNTZA;100;GENERACION;BAJA;ZONA ESPANOLA
CSED;CSE DISTRIBUCION;ENDESA DISTRIBUCIÓN (CSE-I);100;DISTRIBUIDOR;BAJA;ZONA ESPANOLA
CTGN1;C.C. CARTAGENA 1;GAS NATURAL SDG;100;GENERACION;;ZONA ESPANOLA
CTGN2;C.C. CARTAGENA 2;GAS NATURAL SDG;100;GENERACION;;ZONA ESPANOLA
CTGN3;C.C. CARTAGENA 3;GAS NATURAL SDG;100;GENERACION;;ZONA ESPANOLA
CTJON1;C.C. CASTEJÓN 1;ELÉCTRICA DE LA RIBERA DEL EBRO, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
CTJON1R;CC. CASTEJON1 REPR;HIDROELECTRICA DEL CANTABRICO Generación;100;GENERACION;;ZONA ESPANOLA
CTJON2;C.C. CASTEJÓN 2;FUERZAS ELÉCTRICAS DE NAVARRA;100;GENERACION;BAJA;ZONA ESPANOLA
CTJON2R;C.C. CASTEJÓN 2;IBERDROLA GENERACIÓN;100;GENERACION;;ZONA ESPANOLA
CTJON3;C.C. CASTEJÓN 3;ELÉCTRICA DE LA RIBERA DEL EBRO, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
CTJON3R;CC CASTEJON 3 REPR;HIDROELECTRICA DEL CANTABRICO Generación;100;GENERACION;;ZONA ESPANOLA
CTJON3X;CTJON3 SS.AA.;ELÉCTRICA DE LA RIBERA DEL EBRO, S.A.;100;CONSUMIDOR DIRECTO;BAJA;ZONA ESPANOLA
CTN1;C.T. CASTELLÓN 1;IBERDROLA GENERACIÓN;100;GENERACION;BAJA;ZONA ESPANOLA
CTN2;C.T. CASTELLÓN 2;IBERDROLA GENERACIÓN;100;GENERACION;BAJA;ZONA ESPANOLA
CTN3;C.C. CASTELLÓN 3;IBERDROLA GENERACIÓN;100;GENERACION;;ZONA ESPANOLA
CTN4;C.C. CASTELLÓN 4;IBERDROLA GENERACIÓN;100;GENERACION;;ZONA ESPANOLA
CTN4X;CTN4 SERV. AUXILIARES;IBERDROLA GENERACIÓN;100;CONSUMIDOR DIRECTO;BAJA;ZONA ESPANOLA
CTNJUC2;UGH CASTELNOU;CASTELNOU ENERGÍA;100;GENERACION;;ZONA ESPANOLA
CTNU;C.C. CASTELNOU;CASTELNOU ENERGÍA;100;GENERACION;;ZONA ESPANOLA
CTNUX;GDF SUEZ CASTELNOU AUX;CASTELNOU ENERGÍA;100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
CTREC03;EXPORT. A FRANCIA CTR. L.P.;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
CTRECP3;EXPORT. CTR. L.P. CON DERECHOS;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
CTREDFE;EXPORT. A FRANCIA CTR. L.P.;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
CTREDFI;IMPORT. DE FRANCIA CTR. L.P.;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
CTREV03;IMPORT. DE FRANCIA CTR. L.P.;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
CTREVP3;IMPORT. CTR. L.P. CON DERECHOS;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
CTRONEE;EXPORT. A MARRUECOS CTR. L.P.;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA MARRUECOS
CTRONEI;IMPORT. DE MARRUECOS CTR. L.P.;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA MARRUECOS
CTUDEL;CERAMICA TUDELANA;CERÁMICA TUDELANA;100;GENERACION;BAJA;ZONA ESPANOLA
CUNTC01;CUNTI COMPRA;ELECTRA CUNTIENSE;100;COMERCIALIZADOR;;ZONA ESPANOLA
CUPAC01;CUPIRE PADESA;CUPIRE PADESA S.L;100;CONSUMIDOR DIRECTO;BAJA;ZONA ESPANOLA
CUPRC01;CUPIRE PADESA;CUPIRE PADESA S.L;100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
CVRE001;CER. VIVES AG. VENDEDOR N°1;CERÁMICA VIVES;100;GENERACION;BAJA;ZONA ESPANOLA
CVRE002;CER. VIVES AG. VENDEDOR N°2;CERÁMICA VIVES;100;GENERACION;BAJA;ZONA ESPANOLA
CVRE003;CER. VIVES AG. VENDEDOR N°3;CERÁMICA VIVES;100;GENERACION;BAJA;ZONA ESPANOLA
CVRE004;CER. VIVES AG. VENDEDOR N°4;CERÁMICA VIVES;100;GENERACION;BAJA;ZONA ESPANOLA
CVRE005;CER. VIVES AG. VENDEDOR N°5;CERÁMICA VIVES;100;GENERACION;BAJA;ZONA ESPANOLA
CVRE006;CER. VIVES AG. VENDEDOR N°6;CERÁMICA VIVES;100;GENERACION;BAJA;ZONA ESPANOLA
CVRE007;CER. VIVES AG. VENDEDOR N°7;CERÁMICA VIVES;100;GENERACION;BAJA;ZONA ESPANOLA
CYDAC01;COMPRA CYDAE COMERCIALIZACION;COMERCIAL Y ASESORA DE ELECTRICIDAD, S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
CYDEC01;CYD ENERGIA COMPRA (ESP);CYD ENERGÍA;100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
CYEC01;UNIDAD COMPRA COMERCIALIZACION;CYE ENERGIA S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
CYEVD01;UOF REPR FV TAR CON DESVIO 1;CYE ENERGIA S.L.;100;GENERACION;;ZONA ESPANOLA
DANSC03;DANSK EXP. SIN DERECHOS FRAN;DANSKE COMMODITIES;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
DANSCP3;DANSK EXP. CON DERECHOS FRAN;DANSKE COMMODITIES;100;COMERCIALIZADOR;;FRONTERA FRANCIA
DANSV03;DANSK IMPOR SIN DERECHOS FRAN;DANSKE COMMODITIES;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
DANSVP3;DANSK IMPOR CON DERECHOS FRAN;DANSKE COMMODITIES;100;COMERCIALIZADOR;;FRONTERA FRANCIA
DATENC1;ATEN GEN DISTRI COMPRA;ALPIQ ENERGIA ESPANA, S.A.U. (ATEL ENERGÍA);100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DATENV1;ATEN GEN DISTRI VENTA;ALPIQ ENERGIA ESPANA, S.A.U. (ATEL ENERGÍA);100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DBBELC1;BBEL GEN DISTRI COMPRA;BAHIA DE BIZKAIA ELECTRICIDAD;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DBBELV1;BBEL GEN DISTRI VENTA;BAHIA DE BIZKAIA ELECTRICIDAD;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DBECC03;COMPRA NO RIGHTS FRANCIA DB;DB ENERGY COMMODITIES;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
DBECCP3;COMPRA RIGHTS FRANCIA DB;DB ENERGY COMMODITIES;100;COMERCIALIZADOR;;FRONTERA FRANCIA
DBECV03;VENTA NO RIGHTS FRANCIA DB;DB ENERGY COMMODITIES;100;COMERCIALIZADOR;BAJA;FRONTERA FRANCIA
DBECVP3;VENTA RIGHTS FRANCIA DB;DB ENERGY COMMODITIES;100;COMERCIALIZADOR;;FRONTERA FRANCIA
DBENC01;COMPRA DB INTERNAL SPAIN;DB ENERGY COMMODITIES;100;COMERCIALIZADOR;;ZONA ESPANOLA
DBIOVC1;BIOV GEN DISTRI COMPRA;BIOVENT ENERGÍA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DBIOVV1;BIOV GEN DISTRI VENTA;BIOVENT ENERGÍA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DBIZEC1;BIZE GEN DISTRI COMPRA;BIZKAIA ENERGIA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DBIZEV1;BIZE GEN DISTRI VENTA;BIZKAIA ENERGIA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DCECGC1;CECGS GEN DISTRI COMPRA;CONSTELLATION ENERGY C. G. LTD SUCURSAL EN ESPANA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DCECGV1;CECGS GEN DISTRI VENTA;CONSTELLATION ENERGY C. G. LTD SUCURSAL EN ESPANA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DCENTC1;CENTE GEN DISTRI COMPRA;ENERGYA VM GESTION DE ENERGIA, S.L.;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DCENTV1;CENTE GEN DISTRI VENTA;ENERGYA VM GESTION DE ENERGIA, S.L.;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DCTC01;DIVERTA COM. Y TEL. COMP (ESP);DIVERTA COMUNICACIONES Y TELEFONIA;100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
DCTNUC1;CTNU GENERICA COMPRA;CASTELNOU ENERGÍA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DCTNUV1;CTNU GENERICA VENTA;CASTELNOU ENERGÍA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DDETIC1;DETIC GEN DISTRI COMPRA;DETISA (ACTIVIDAD: COMERCIALIZACIÓN);100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DDETIV1;DETIC GEN DISTRI VENTA;DETISA (ACTIVIDAD: COMERCIALIZACIÓN);100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEDFTC1;EDFT GEN DISTRI COMPRA;EDF TRADING LIMITED;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEDFTV1;EDFT GEN DISTRI VENTA;EDF TRADING LIMITED;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEDPGC1;EDPGP GEN DISTRI COMPRA;EDP-ENERGÍAS DE PORTUGAL;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEDPGV1;EDPGP GEN DISTRI VENTA;EDP-ENERGÍAS DE PORTUGAL;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEFGC1;EFG GEN DISTRI COMPRA;FACTOR ENERGIA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEFGV1;EFG GEN DISTRI VENTA;FACTOR ENERGIA;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEGEDC1;EGED GEN DISTRI COMPRA;ACCIONA GREEN ENERGY DEVELOPMENTS;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEGEDV1;EGED GEN DISTRI VENTA;ACCIONA GREEN ENERGY DEVELOPMENTS;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEGLEC1;EGLE GEN DISTRI COMPRA;AXPO IBERIA, S.L.;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEGLEV1;EGLE GEN DISTRI VENTA;AXPO IBERIA, S.L.;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DELTBC1;ELTB GEN DISTRI COMPRA;ELECTRABEL;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DELTBV1;ELTB GEN DISTRI VENTA;ELECTRABEL;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DENDGC1;ENDG GEN DISTRI COMPRA;ENDESA GENERACIÓN, S.A.;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DENDGV1;ENDG GEN DISTRI VENTA;ENDESA GENERACIÓN, S.A.;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DENDRE1;DENRI VENTA REG. ESPECIAL;DESARROLLO DE ENERGÍAS RENOVABLES DE LA RIOJA;100;GENERACION;BAJA;ZONA ESPANOLA
DENOVC1;ENOV GEN DISTRI COMPRA;ENERNOVA AYAMONTE;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DENOVV1;ENOV GEN DISTRI VENTA;ENERNOVA AYAMONTE;100;GENERICA DISTRIBUCION;BAJA;ZONA ESPANOLA
DEOLC01;DES. EOLICOS COMPRA (ESP);DESARROLLOS EOLICOS;100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
DEOLRE1;DESARROLLOS EOLICOS VENTA RE 1;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DEOLRE2;DESARROLLOS EOLICOS VENTA RE2;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DEOLRE3;DESARROLLOS EOLICOS VENTA RE3;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE001;DESARROLLOS EOLICOS VENTA RE 1;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE002;DESARROLLOS EOLICOS VENTA RE 2;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE003;DESARROLLOS EOLICOS VENTA RE 3;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE004;DESARROLLOS EOLICOS VENTA RE 4;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE005;DESARROLLOS EOLICOS VENTA RE 5;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE006;DESARROLLOS EOLICOS VENTA RE 6;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE007;DESARROLLOS EOLICOS VENTA RE 7;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE008;DESARROLLOS EOLICOS VENTA RE 8;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE009;DESARROLLOS EOLICOS VENTA RE 9;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE010;DESARROLLOS EOLICOS VENTA RE10;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE011;DESARROLLOS EOLICOS VENTA RE11;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE012;DESARROLLOS EOLICOS VENTA RE12;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE013;DESARROLLOS EOLICOS VENTA RE13;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE014;DESARROLLOS EOLICOS VENTA RE14;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE015;DESARROLLOS EOLICOS VENTA RE15;;100;GENERACION;BAJA;ZONA ESPANOLA
DERE016;DESARROLLOS EOLICOS VENTA RE16;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE017;DESARROLLOS EOLICOS VENTA RE17;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE018;DESARROLLOS EOLICOS VENTA RE18;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE019;DESARROLLOS EOLICOS VENTA RE19;;100;GENERACION;BAJA;ZONA ESPANOLA
DERE020;DESARROLLOS EOLICOS VENTA RE20;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE021;DESARROLLOS EOLICOS VENTA RE21;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE022;DESARROLLOS EOLICOS VENTA RE22;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE024;DESARROLLOS EOLICOS VENTA RE24;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE025;DESARROLLOS EOLICOS VENTA RE25;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE026;DESARROLLOS EOLICOS VENTA RE26;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE027;DESARROLLOS EOLICOS VENTA RE27;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE031;DESARROLLOS EOLICOS VENTA RE31;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE032;DESARROLLOS EOLICOS VENTA RE32;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE033;DESARROLLOS EOLICOS VENTA RE33;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DERE034;DESARROLLOS EOLICOS VENTA RE34;DESARROLLOS EOLICOS (Act. Comercialización RE);100;GENERACION;BAJA;ZONA ESPANOLA
DETCRB1;DETISA BILAT. RE.1 (VENTA);DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
DETCRB2;DETISA BILAT. RE.2 (VENTA);DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
DETCRE1;DETISA COM VENTA REG. ESPECIAL;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;;ZONA ESPANOLA
DETCRE2;DETISA COM VENTA RE 2;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;BAJA;ZONA ESPANOLA
DETCRE3;DETISA COM VENTA RE 3;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;BAJA;ZONA ESPANOLA
DETCRE4;DETISA COM VENTA RE 4;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;BAJA;ZONA ESPANOLA
DETCRE5;DETISA COM VENTA RE 5;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;BAJA;ZONA ESPANOLA
DETCRE6;DETISA COM VETA RE 6;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;BAJA;ZONA ESPANOLA
DETCRE7;DETISA COM VENTA RE 7;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;BAJA;ZONA ESPANOLA
DETCRE8;DETISA COM VENTA RE 8;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;BAJA;ZONA ESPANOLA
DETIC01;DETISA COMPRA (ESP);DETISA (ACTIVIDAD: COMERCIALIZACION);100;COMERCIALIZADOR;;ZONA ESPANOLA
DETIRE1;DETISA VENTA REG. ESPECIAL;DETISA (Actividad: Generación);100;GENERACION;BAJA;ZONA ESPANOLA
