CODIGO;DESCRIPCION;AGENTE PROPIETARIO;PORCENTAJE PROPIEDAD;TIPO UNIDAD;ESTADO;ZONA/FRONTERA
ACHEC01;ACHER COMPRA;ELECTRICA DE CHERA, S.C.V.;100;COMERCIALIZADOR;;ZONA ESPANOLA
ADELC01;ADELFAS COMPRAS;ADELFAS ENERGIA SL;100;COMERCIALIZADOR;;ZONA ESPANOLA
ADOUINT;DOURO INTERNACIONAL;EDP-ENERGÍAS DE PORTUGAL;100;GENERACION;BAJA;ZONA PORTUGUESA
ADOUNAB;BOMBA DO DOURO NACIONAL;EDP-ENERGÍAS DE PORTUGAL;100;BOMBEO;BAJA;ZONA PORTUGUESA
ADOUNAC;DOURO NACIONAL;EDP-ENERGÍAS DE PORTUGAL;100;GENERACION;BAJA;ZONA PORTUGUESA
ADOURO;HIDRO DOURO TOTAL;EDP-ENERGÍAS DE PORTUGAL;100;GENERACION;;ZONA PORTUGUESA
ADOUROB;BOMBA DO DOURO;EDP-ENERGÍAS DE PORTUGAL;100;BOMBEO;;ZONA PORTUGUESA
ADR1;C.T. SAN ADRIÁN 1;ENDESA GENERACIÓN, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ADR2;C.T. SAN ADRIÁN 2;ENDESA GENERACIÓN, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ADR3;C.T. SAN ADRIÁN 3;ENDESA GENERACIÓN, S.A.;100;GENERACION;BAJA;ZONA ESPANOLA
ADURC01;ADURIZ ENERGÍA COMPRA (ESP);ADURIZ ENERGÍA SLU;100;COMERCIALIZADOR;;ZONA ESPANOLA
ADZANET;COGENERACIÓN ADZANETA;COGENERACIÓN ADZANETA;100;GENERACION;BAJA;ZONA ESPANOLA
AECOC01;AQUILA ENERGY COMPRA (ESP);AQUILA-ENERGY;100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
AEOEC01;UNIDAD OFERTANTE AEO;ANOTHER ENERGY OPTION, S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
AGEC01;ASECOR;GRUPO ENERGÉTICO ASECOR S.L;100;COMERCIALIZADOR;;ZONA ESPANOLA
AGECC01;COMPRA ENERGIA;AE3000 AGENT COMERCIALITZADOR, S.L.;100;COMERCIALIZADOR;BAJA;ZONA ESPANOLA
AGENC01;ABESLCOMPRA;AGUAS DE BARBASTRO ENERGIA, S.L.;100;COMERCIALIZADOR;;ZONA ESPANOLA
AGENVD1;RE TARIFA CON REPRESENTANTE;AE3000 AGENT COMERCIALITZADOR, S.L.;100;GENERACION;;ZONA ESPANOLA
AGENVD2;RE TARIFA CON REPRESENTANTE;AE3000 AGENT COMERCIALITZADOR, S.L.;100;GENERACION;;ZONA ESPANOLA
AGENVD3;RE TARIFA CON REPRESENTANTE;AE3000 AGENT COMERCIALITZADOR, S.L.;100;GENERACION;;ZONA ESPANOLA
AGENVD4;RE TARIFA CON REP.COGENERACION;AE3000 AGENT COMERCIALITZADOR, S.L.;100;GENERACION;BAJA;ZONA ESPANOLA
AGENVD5;RE TARIFA CON REP.COGE +10MB;AE3000 AGENT COMERCIALITZADOR, S.L.;100;GENERACION;BAJA;ZONA ESPANOLA
AGERC01;BASILIO;GRUPO ENERGÉTICO ASECOR S.L;100;CONSUMIDOR DIRECTO;BAJA;ZONA ESPANOLA
AGERC02;AQUAGEST;GRUPO ENERGÉTICO ASECOR S.L;100;CONSUMIDOR DIRECTO;BAJA;ZONA ESPANOLA
AGERC03;LAMINADOS ALLER;GRUPO ENERGÉTICO ASECOR S.L;100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
AGERC04;ASTURAGUA SICA;GRUPO ENERGÉTICO ASECOR S.L;100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
AGERC05;CLUB NATACIÓN SANTA OLAYA;GRUPO ENERGÉTICO ASECOR S.L;100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
AGMAC01;AGUAS DE MARQUESADO;AGUAS DEL MARQUESADO;100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
